199
0,START,1
0,PROGRAM-HEADING,2
4,PROGRAM-BLOCK,6
4,CONSTANT-DECLARATION-PART,7
5,OPT-PROGRAM-PARAMETERS,9
7,VARIABLE-DECLARATION-PART,12
8,CONSTANT-DEFINITION,14
10,PROGRAM-PARAMETERS,16
10,IDENTIFIER-LIST,17
12,STATEMENT-PART,19
13,VARIABLE-DECLARATION,21
13,IDENTIFIER-LIST,22
18,MORE-IDENTIFIER,26
20,STATEMENT-SEQUENCE,28
20,STATEMENT,29
20,SIMPLE-STATEMENT,30
20,STRUCTURED-STATEMENT,31
20,ASSIGNMENT-STATEMENT,32
20,IO-STATEMENT,33
20,COMPOUND-STATEMENT,34
20,REPETITIVE-STATEMENT,35
20,CONDITIONAL-STATEMENT,36
20,WRITELN-STATEMENT,38
20,READLN-STATEMENT,39
20,WHILE-STATEMENT,41
20,REPEAT-STATEMENT,42
20,FOR-STATEMENT,43
23,MORE-CONSTANT-DEFINITION,52
23,CONSTANT-DEFINITION,53
24,EXPRESSION,54
24,SIMPLE-EXPRESSION,55
24,OPT-SIGN,56
40,STATEMENT-SEQUENCE,63
40,STATEMENT,29
40,SIMPLE-STATEMENT,30
40,STRUCTURED-STATEMENT,31
40,ASSIGNMENT-STATEMENT,32
40,IO-STATEMENT,33
40,COMPOUND-STATEMENT,34
40,REPETITIVE-STATEMENT,35
40,CONDITIONAL-STATEMENT,36
40,WRITELN-STATEMENT,38
40,READLN-STATEMENT,39
40,WHILE-STATEMENT,41
40,REPEAT-STATEMENT,42
40,FOR-STATEMENT,43
44,EXPRESSION,64
44,SIMPLE-EXPRESSION,55
44,OPT-SIGN,56
46,OPT-IDENTIFIER-LIST,66
47,EXPRESSION,68
47,SIMPLE-EXPRESSION,55
47,OPT-SIGN,56
48,STATEMENT-SEQUENCE,69
48,STATEMENT,29
48,SIMPLE-STATEMENT,30
48,STRUCTURED-STATEMENT,31
48,ASSIGNMENT-STATEMENT,32
48,IO-STATEMENT,33
48,COMPOUND-STATEMENT,34
48,REPETITIVE-STATEMENT,35
48,CONDITIONAL-STATEMENT,36
48,WRITELN-STATEMENT,38
48,READLN-STATEMENT,39
48,WHILE-STATEMENT,41
48,REPEAT-STATEMENT,42
48,FOR-STATEMENT,43
50,MORE-VARIABLE-DECLARATION,71
50,VARIABLE-DECLARATION,72
50,IDENTIFIER-LIST,22
51,TYPE,73
55,OPT-REL-EXPRESSION,79
55,RELATIONAL-OPERATOR,80
56,TERM,87
56,FACTOR,88
59,MORE-IDENTIFIER,94
61,MORE-STATEMENT,95
61,STATEMENT,96
61,SIMPLE-STATEMENT,30
61,STRUCTURED-STATEMENT,31
61,ASSIGNMENT-STATEMENT,32
61,IO-STATEMENT,33
61,COMPOUND-STATEMENT,34
61,REPETITIVE-STATEMENT,35
61,CONDITIONAL-STATEMENT,36
61,WRITELN-STATEMENT,38
61,READLN-STATEMENT,39
61,WHILE-STATEMENT,41
61,REPEAT-STATEMENT,42
61,FOR-STATEMENT,43
62,EXPRESSION,97
62,SIMPLE-EXPRESSION,55
62,OPT-SIGN,56
65,OPT-ELEMENT-LIST,100
65,ELEMENT-LIST,101
65,ELEMENT,102
67,IDENTIFIER-LIST,106
78,MORE-CONSTANT-DEFINITION,111
78,CONSTANT-DEFINITION,53
80,SIMPLE-EXPRESSION,112
80,OPT-SIGN,56
87,MORE-ADD-TERM,113
87,ADDITION-OPERATOR,114
88,MORE-MULT-TERM,118
88,MULTIPLICATION-OPERATOR,119
92,EXPRESSION,125
92,SIMPLE-EXPRESSION,55
92,OPT-SIGN,56
93,FACTOR,126
99,STATEMENT,128
99,SIMPLE-STATEMENT,30
99,STRUCTURED-STATEMENT,31
99,ASSIGNMENT-STATEMENT,32
99,IO-STATEMENT,33
99,COMPOUND-STATEMENT,34
99,REPETITIVE-STATEMENT,35
99,CONDITIONAL-STATEMENT,36
99,WRITELN-STATEMENT,38
99,READLN-STATEMENT,39
99,WHILE-STATEMENT,41
99,REPEAT-STATEMENT,42
99,FOR-STATEMENT,43
102,MORE-ELEMENT,130
107,STATEMENT,133
107,SIMPLE-STATEMENT,30
107,STRUCTURED-STATEMENT,31
107,ASSIGNMENT-STATEMENT,32
107,IO-STATEMENT,33
107,COMPOUND-STATEMENT,34
107,REPETITIVE-STATEMENT,35
107,CONDITIONAL-STATEMENT,36
107,WRITELN-STATEMENT,38
107,READLN-STATEMENT,39
107,WHILE-STATEMENT,41
107,REPEAT-STATEMENT,42
107,FOR-STATEMENT,43
108,EXPRESSION,134
108,SIMPLE-EXPRESSION,55
108,OPT-SIGN,56
109,EXPRESSION,135
109,SIMPLE-EXPRESSION,55
109,OPT-SIGN,56
110,MORE-VARIABLE-DECLARATION,136
110,VARIABLE-DECLARATION,72
110,IDENTIFIER-LIST,22
114,TERM,137
114,FACTOR,88
119,FACTOR,138
127,MORE-STATEMENT,140
127,STATEMENT,96
127,SIMPLE-STATEMENT,30
127,STRUCTURED-STATEMENT,31
127,ASSIGNMENT-STATEMENT,32
127,IO-STATEMENT,33
127,COMPOUND-STATEMENT,34
127,REPETITIVE-STATEMENT,35
127,CONDITIONAL-STATEMENT,36
127,WRITELN-STATEMENT,38
127,READLN-STATEMENT,39
127,WHILE-STATEMENT,41
127,REPEAT-STATEMENT,42
127,FOR-STATEMENT,43
128,OPT-ELSE,141
131,ELEMENT,143
135,TO-DOWNTO,144
137,MORE-ADD-TERM,147
137,ADDITION-OPERATOR,114
138,MORE-MULT-TERM,148
138,MULTIPLICATION-OPERATOR,119
142,STATEMENT,149
142,SIMPLE-STATEMENT,30
142,STRUCTURED-STATEMENT,31
142,ASSIGNMENT-STATEMENT,32
142,IO-STATEMENT,33
142,COMPOUND-STATEMENT,34
142,REPETITIVE-STATEMENT,35
142,CONDITIONAL-STATEMENT,36
142,WRITELN-STATEMENT,38
142,READLN-STATEMENT,39
142,WHILE-STATEMENT,41
142,REPEAT-STATEMENT,42
142,FOR-STATEMENT,43
143,MORE-ELEMENT,150
144,EXPRESSION,151
144,SIMPLE-EXPRESSION,55
144,OPT-SIGN,56
152,STATEMENT,153
152,SIMPLE-STATEMENT,30
152,STRUCTURED-STATEMENT,31
152,ASSIGNMENT-STATEMENT,32
152,IO-STATEMENT,33
152,COMPOUND-STATEMENT,34
152,REPETITIVE-STATEMENT,35
152,CONDITIONAL-STATEMENT,36
152,WRITELN-STATEMENT,38
152,READLN-STATEMENT,39
152,WHILE-STATEMENT,41
152,REPEAT-STATEMENT,42
152,FOR-STATEMENT,43
